Authors,ArticleTitle,Source Title,Volume,Issue,Start Page,End Page,DOI,Early Access Date,Document Type,Publication Date,Publication Year,Abstract,N,O
"Cao, Xubo; Kosinski, Michal",Large language models and humans converge in judging public figures' personalities,PNAS NEXUS,3,10,,,10.1093/pnasnexus/pgae418,,Article,OCT 1 2024,2024,"ChatGPT-4 and 600 human raters evaluated 226 public figures' personalities using the Ten-Item Personality Inventory. The correlation between ChatGPT-4 and aggregate human ratings ranged from r = 0.76 to 0.87, outperforming the models specifically trained to make such predictions. Notably, the model was not provided with any training data or feedback on its performance. We discuss the potential explanations and practical implications of ChatGPT-4's ability to mimic human responses accurately.",AI Performance vs. Human Benchmarks,ChatGPT-4在用十项人格量表评估226名公众人物人格上与600名人类评分者高度一致（r=0.76–0.87），胜过专门训练的模型。
"Tao, Yan; Viberg, Olga; Baker, Ryan S.; Kizilcec, Rene F.",Cultural bias and cultural alignment of large language models,PNAS NEXUS,3,9,,,10.1093/pnasnexus/pgae346,,Article,SEP 17 2024,2024,"Culture fundamentally shapes people's reasoning, behavior, and communication. As people increasingly use generative artificial intelligence (AI) to expedite and automate personal and professional tasks, cultural values embedded in AI models may bias people's authentic expression and contribute to the dominance of certain cultures. We conduct a disaggregated evaluation of cultural bias for five widely used large language models (OpenAI's GPT-4o/4-turbo/4/3.5-turbo/3) by comparing the models' responses to nationally representative survey data. All models exhibit cultural values resembling English-speaking and Protestant European countries. We test cultural prompting as a control strategy to increase cultural alignment for each country/territory. For later models (GPT-4, 4-turbo, 4o), this improves the cultural alignment of the models' output for 71-81% of countries and territories. We suggest using cultural prompting and ongoing evaluation to reduce cultural bias in the output of generative AI.","Bias, Ethics, and Societal Risks",五种主流LLM展现英美/新教欧洲文化倾向，文化提示可在71–81%国家改善模型的文化对齐。
"Heersmink, Richard",Use of large language models might affect our cognitive skills,NATURE HUMAN BEHAVIOUR,8,5,805,806,10.1038/s41562-024-01859-y,24-Mar,Editorial Material,24-May,2024,"Large language models can generate sophisticated text or code with little input from a user, which has the potential to impoverish our own writing and thinking skills. We need to understand the effect of this technology on our cognition and to decide whether this is what we want.",Impact on Human Cognition and Collective Intelligence,LLM能生成高级文本与代码，可能削弱人类写作与思维技能，需要评估其对认知的长期影响。
"Heide-Jorgensen, Tobias; Eady, Gregory; Rasmussen, Anne",Understanding the success and failure of online political debate: Experimental evidence using large language models,SCIENCE ADVANCES,11,30,,,10.1126/sciadv.adv7864,,Article,JUL 23 2025,2025,"Online political debate is frequently lamented for being toxic, partisan, and counterproductive. However, we know little about how core elements of political debate (justification, tone, willingness to compromise, and partisanship) affect its quality. Using text-based treatments experimentally manipulated with a large language model, we test how these elements causally affect the quality of open-text responses about issues important to the US and UK public. We find substantial evidence that differences in justification, tone, and willingness to compromise, but not partisanship, affect the quality of subsequent discourse. Combined, these elements increase the probability of high-quality responses by roughly 1.6 to 2 times and substantially increase openness to alternative viewpoints. Despite the ability to bring about substantial changes in discourse quality, we find no evidence of changes in political attitudes themselves. Our findings demonstrate how adapting approaches to online debate can foster healthy democratic interactions but have less influence on changing minds.",Impact on Human Cognition and Collective Intelligence,用LLM操控论证、语气与妥协意愿能显著提升公开政治讨论质量与观点开放性，但不改变政治立场。
"Abdurahman, Suhaib; Atari, Mohammad; Karimi-Malekabadi, Farzan; Xue, Mona J.; Trager, Jackson; Park, Peter S.; Golazizian, Preni; Omrani, Ali; Dehghani, Morteza",Perils and opportunities in using large language models in psychological research,PNAS NEXUS,3,7,,,10.1093/pnasnexus/pgae245,24-Jul,Article,JUL 16 2024,2024,"The emergence of large language models (LLMs) has sparked considerable interest in their potential application in psychological research, mainly as a model of the human psyche or as a general text-analysis tool. However, the trend of using LLMs without sufficient attention to their limitations and risks, which we rhetorically refer to as GPTology, can be detrimental given the easy access to models such as ChatGPT. Beyond existing general guidelines, we investigate the current limitations, ethical implications, and potential of LLMs specifically for psychological research, and show their concrete impact in various empirical studies. Our results highlight the importance of recognizing global psychological diversity, cautioning against treating LLMs (especially in zero-shot settings) as universal solutions for text analysis, and developing transparent, open methods to address LLMs' opaque nature for reliable, reproducible, and robust inference from AI-generated data. Acknowledging LLMs' utility for task automation, such as text annotation, or to expand our understanding of human psychology, we argue for diversifying human samples and expanding psychology's methodological toolbox to promote an inclusive, generalizable science, countering homogenization, and over-reliance on LLMs.","Bias, Ethics, and Societal Risks",讨论LLM在心理学研究中的潜力与风险，强调避免零样本过度依赖、重视文化多样性与方法透明性。
"Tyler, Chris; Akerlof, K. L.; Allegra, Alessandro; Arnold, Zachary; Canino, Henriette; Doornenbal, Marius A.; Goldstein, Josh A.; Pedersen, David Budtz; Sutherland, William J.",AI tools as science policy advisers? The potential and the pitfalls,NATURE,,,,,10.1038/d41586-023-02999-3,23-Sep,Editorial Material; Early Access,,2023,Large language models and other artificial-intelligence systems could be excellent at synthesizing scientific evidence for policymakers - but only with appropriate safeguards and humans in the loop. Large language models and other artificial-intelligence systems could be excellent at synthesizing scientific evidence for policymakers - but only with appropriate safeguards and humans in the loop.,Applications in Professional and Scientific Fields,LLM可为政策制定者综合科学证据提供帮助，但必须有人类参与与适当保障措施。
"Burton, Jason W.; Lopez-Lopez, Ezequiel; Hechtlinger, Shahar; Rahwan, Zoe; Aeschbach, Samuel; Bakker, Michiel A.; Becker, Joshua A.; Berditchevskaia, Aleks; Berger, Julian; Brinkmann, Levin; Flek, Lucie; Herzog, Stefan M.; Huang, Saffron; Kapoor, Sayash; Narayanan, Arvind; Nussberger, Anne-Marie; Yasseri, Taha; Nickl, Pietro; Almaatouq, Abdullah; Hahn, Ulrike; Kurvers, Ralf H. J. M.; Leavy, Susan; Rahwan, Iyad; Siddarth, Divya; Siu, Alice; Woolley, Anita W.; Wulff, Dirk U.; Hertwig, Ralph",How large language models can reshape collective intelligence,NATURE HUMAN BEHAVIOUR,8,9,1643,1655,10.1038/s41562-024-01959-9,24-Sep,Review,24-Sep,2024,"Collective intelligence underpins the success of groups, organizations, markets and societies. Through distributed cognition and coordination, collectives can achieve outcomes that exceed the capabilities of individuals-even experts-resulting in improved accuracy and novel capabilities. Often, collective intelligence is supported by information technology, such as online prediction markets that elicit the 'wisdom of crowds', online forums that structure collective deliberation or digital platforms that crowdsource knowledge from the public. Large language models, however, are transforming how information is aggregated, accessed and transmitted online. Here we focus on the unique opportunities and challenges this transformation poses for collective intelligence. We bring together interdisciplinary perspectives from industry and academia to identify potential benefits, risks, policy-relevant considerations and open research questions, culminating in a call for a closer examination of how large language models affect humans' ability to collectively tackle complex problems.",Impact on Human Cognition and Collective Intelligence,探讨LLM如何重塑信息聚合與传播，既可能增强集体智慧也带来风险与政策挑战。
"Wang, Yifei; Eshghi, Ashkan; Ding, Yi; Gopal, Ram",Echoes of authenticity: Reclaiming human sentiment in the large language model era,PNAS NEXUS,4,2,,,10.1093/pnasnexus/pgaf034,,Article,FEB 25 2025,2025,"This paper scrutinizes the unintended consequences of employing large language models (LLMs) like ChatGPT for editing user-generated content (UGC), particularly focusing on alterations in sentiment. Through a detailed analysis of a climate change tweet dataset, we uncover that LLM-rephrased tweets tend to display a more neutral sentiment than their original counterparts. By replicating an established study on public opinions regarding climate change, we illustrate how such sentiment alterations can potentially skew the results of research relying on UGC. To counteract the biases introduced by LLMs, our research outlines two effective strategies. First, we employ predictive models capable of retroactively identifying the true human sentiment underlying the original communications, utilizing the altered sentiment expressed in LLM-rephrased tweets as a basis. While useful, this approach faces limitations when the origin of the text-whether directly crafted by a human or modified by an LLM-remains uncertain. To address such scenarios where the text's provenance is ambiguous, we develop a second approach based on the fine-tuning of LLMs. This fine-tuning process not only helps in aligning the sentiment of LLM-generated texts more closely with human sentiment but also offers a robust solution to the challenges posed by the indeterminate origins of digital content. This research highlights the impact of LLMs on the linguistic characteristics and sentiment of UGC, and more importantly, offers practical solutions to mitigate these biases, thereby ensuring the continued reliability of sentiment analysis in research and policy.",Content Authenticity and Mitigation Strategies,LLM重写的用户生成内容趋于中性化，可能扭曲情感研究，作者提出基于预测模型与微调的两种缓解方法。
"Wack, Morgan; Ehrett, Carl; Linvill, Darren; Warren, Patrick",Generative propaganda: Evidence of AI's impact from a state-backed disinformation campaign,PNAS NEXUS,4,4,,,10.1093/pnasnexus/pgaf083,,Article,25-Apr,2025,"Can AI bolster state-backed propaganda campaigns, in practice? Growing use of AI and large language models has drawn attention to the potential for accompanying tools to be used by malevolent actors. Though recent laboratory and experimental evidence has substantiated these concerns in principle, the usefulness of AI tools in the production of propaganda campaigns has remained difficult to ascertain. Drawing on the adoption of generative-AI techniques by a state-affiliated propaganda site with ties to Russia, we test whether AI adoption enabled the website to amplify and enhance its production of disinformation. First, we find that the use of generative-AI tools facilitated the outlet's generation of larger quantities of disinformation. Second, we find that use of generative-AI coincided with shifts in the volume and breadth of published content. Finally, drawing on a survey experiment comparing perceptions of articles produced prior to and following the adoption of AI tools, we show that the AI-assisted articles maintained their persuasiveness in the postadoption period. Our results illustrate how generative-AI tools have already begun to alter the size and scope of state-backed propaganda campaigns.","Bias, Ethics, and Societal Risks",证据显示与俄罗斯相关的宣传网站采用生成式AI后扩大了虚假信息产出规模与广度，并维持其说服力。
"Rubin, Matan; Li, Joanna Z.; Zimmerman, Federico; Ong, Desmond C.; Goldenberg, Amit; Perry, Anat",Comparing the value of perceived human versus AI-generated empathy,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-025-02247-w,25-Jun,Article; Early Access,,2025,"Artificial intelligence (AI) and specifically large language models demonstrate remarkable social-emotional abilities, which may improve human-AI interactions and AI's emotional support capabilities. However, it remains unclear whether empathy, encompassing understanding, 'feeling with' and caring, is perceived differently when attributed to AI versus humans. We conducted nine studies (n = 6,282) where AI-generated empathic responses to participants' emotional situations were labelled as provided by either humans or AI. Human-attributed responses were rated as more empathic and supportive, and elicited more positive and fewer negative emotions, than AI-attributed ones. Moreover, participants' own uninstructed belief that AI had aided the human-attributed responses reduced perceived empathy and support. These effects were replicated across varying response lengths, delays, iterations and large language models and were primarily driven by responses emphasizing emotional sharing and care. Additionally, people consistently chose human interaction over AI when seeking emotional engagement. These findings advance our general understanding of empathy, and specifically human-AI empathic interactions.",Human-AI Interaction and Perception,当AI生成的同理回应被标为人类时被评为更有同理心且更支持，参与者普遍偏好与人类互动以寻求情感支持。
